year,candidate_type,province,no_sat,eligible_no,eligible_percentage,three_a_no,three_a_percentage,failed_all_no,failed_all_percentage
2021,School,Eastern,17025,11237,66.0,472,2.77,1521,8.93
2021,School,Uva,15852,10440,65.86,540,3.41,1305,8.23
2021,School,Northern,12388,8085,65.26,412,3.33,1269,10.24
2021,School,North Western,26807,17174,64.07,1048,3.91,2442,9.11
2021,School,Central,31069,19833,63.84,956,3.08,2799,9.01
2021,School,Western,62850,39788,63.31,3109,4.95,6025,9.59
2021,School,Sabaragamuwa,23396,14702,62.84,880,3.76,2386,10.2
2021,School,Southern,32436,20145,62.11,1430,4.41,3571,11.01
2021,School,North Central,14212,8542,60.1,466,3.28,1610,11.33
2021,All,Uva,18213,11862,65.13,577,3.17,1549,8.5
2021,All,Eastern,21466,13742,64.02,530,2.47,2047,9.54
2021,All,North Western,30865,19625,63.58,1118,3.62,2909,9.42
2021,All,Northern,14134,8986,63.58,424,3.0,1499,10.61
2021,All,Sabaragamuwa,26761,16837,62.92,962,3.59,2748,10.27
2021,All,Central,35821,22502,62.82,1022,2.85,3425,9.56
2021,All,Southern,37314,23381,62.66,1574,4.22,3998,10.71
2021,All,Western,71317,44425,62.29,3286,4.61,7309,10.25
2021,All,North Central,16791,10137,60.37,507,3.02,1868,11.13
2022,School,Eastern,16829,11553,68.65,635,3.77,1351,8.03
2022,School,Northern,11917,8114,68.09,406,3.41,1086,9.11
2022,School,Uva,16164,10705,66.23,497,3.07,1374,8.5
2022,School,North Western,26387,17122,64.89,1093,4.14,2454,9.3
2022,School,Western,61841,39619,64.07,3001,4.85,5877,9.5
2022,School,Sabaragamuwa,23392,14937,63.86,925,3.95,2389,10.21
2022,School,Central,30119,18914,62.8,913,3.03,2790,9.26
2022,School,Southern,31837,19941,62.63,1530,4.81,3627,11.39
2022,School,North Central,14311,8582,59.97,434,3.03,1838,12.84
2022,All,Northern,13183,8776,66.57,417,3.16,1262,9.57
2022,All,Eastern,20644,13656,66.15,690,3.34,1841,8.92
2022,All,Uva,18238,11908,65.29,528,2.9,1633,8.95
2022,All,North Western,29875,19164,64.15,1153,3.86,2937,9.83
2022,All,Sabaragamuwa,26397,16813,63.69,982,3.72,2732,10.35
2022,All,Southern,35733,22393,62.67,1606,4.49,4035,11.29
2022,All,Western,69190,43332,62.63,3114,4.5,7202,10.41
2022,All,Central,34191,21031,61.51,957,2.8,3387,9.91
2022,All,North Central,16482,9865,59.85,457,2.77,2129,12.92
2023,School,Northern,11868,8162,68.77,506,4.26,1148,9.67
2023,School,Western,58625,39693,67.71,3107,5.3,4996,8.52
2023,School,Eastern,16858,11409,67.68,546,3.24,1450,8.6
2023,School,Uva,16498,10957,66.41,512,3.1,1385,8.39
2023,School,Sabaragamuwa,23038,15246,66.18,855,3.71,2111,9.16
2023,School,North Western,25702,16976,66.05,1067,4.15,2395,9.32
2023,School,Southern,31725,20799,65.56,1788,5.64,3378,10.65
2023,School,Central,30366,19255,63.41,904,2.98,2915,9.6
2023,School,North Central,14377,8846,61.53,569,3.96,1792,12.46
2023,All,Northern,13172,8841,67.12,517,3.92,1350,10.25
2023,All,Eastern,21054,13827,65.67,620,2.94,1959,9.3
2023,All,Sabaragamuwa,27075,17659,65.22,911,3.36,2637,9.74
2023,All,Uva,19002,12359,65.04,544,2.86,1732,9.11
2023,All,Western,69358,45002,64.88,3277,4.72,7053,10.17
