year,candidate_type,stream,no_sat,eligible_no,eligible_percentage,three_a_no,three_a_percentage,failed_all_no,failed_all_percentage
2021,School,Bio Science,34773,19215,55.26,922,2.65,6089,17.51
2021,School,Physical Science,31382,17358,55.31,1235,3.94,6128,19.53
2021,School,Commerce,51222,35274,68.86,4115,8.03,3821,7.46
2021,School,Arts,89646,59075,65.9,2833,3.16,5406,6.03
2021,School,Engineering Technology,16044,10971,68.38,104,0.65,765,4.77
2021,School,Bio Systems Technology,8325,6109,73.38,66,0.79,426,5.12
2021,School,,4643,1944,41.87,38,0.82,293,6.31
2021,All,Bio Science,42158,23996,56.92,1084,2.57,7050,16.72
2021,All,Physical Science,34591,19233,55.6,1271,3.67,6720,19.43
2021,All,Commerce,56091,37799,67.39,4288,7.64,4735,8.44
2021,All,Arts,107002,68959,64.45,3137,2.93,7104,6.64
2021,All,Engineering Technology,17787,12243,68.83,114,0.64,827,4.65
2021,All,Bio Systems Technology,9367,6857,73.2,68,0.73,477,5.09
2021,All,,5686,2410,42.38,38,0.67,439,7.72
2022,School,Bio Science,32397,18335,56.59,720,2.22,5455,16.84
2022,School,Physical Science,31730,18028,56.82,1037,3.27,5419,17.08
2022,School,Commerce,54692,37936,69.36,4086,7.47,4866,8.9
2022,School,Arts,86580,57550,66.47,3394,3.92,5504,6.36
2022,School,Engineering Technology,14985,9918,66.19,90,0.6,787,5.25
2022,School,Bio Systems Technology,7408,5501,74.26,72,0.97,406,5.48
2022,School,,5005,2219,44.34,35,0.7,349,6.97
2022,All,Bio Science,40329,23178,57.47,817,2.03,6601,16.37
2022,All,Physical Science,35197,20138,57.22,1068,3.03,5949,16.9
2022,All,Commerce,59114,40140,67.9,4198,7.1,5823,9.85
2022,All,Arts,99363,64333,64.75,3622,3.65,7026,7.07
2022,All,Engineering Technology,16051,10633,66.25,90,0.56,845,5.26
2022,All,Bio Systems Technology,8082,5981,74.0,73,0.9,443,5.48
2022,All,,5797,2535,43.73,36,0.62,471,8.12
2023,School,Bio Science,37041,21377,57.71,878,2.37,6161,16.63
2023,School,Physical Science,30841,17882,57.98,1303,4.22,5130,16.63
2023,School,Commerce,50691,36035,71.09,3576,7.05,4238,8.36
2023,School,Arts,82637,57438,69.51,3833,4.64,4714,5.7
2023,School,Engineering Technology,15578,10611,68.12,132,0.85,717,4.6
2023,School,Bio Systems Technology,7368,5615,76.21,55,0.75,300,4.07
2023,School,,4901,2385,48.66,77,1.57,310,6.33
2023,All,Bio Science,47373,27546,58.15,985,2.08,7798,16.46
2023,All,Physical Science,35386,20468,57.84,1354,3.83,5998,16.95
2023,All,Commerce,56970,39035,68.52,3711,6.51,5729,10.06
2023,All,Arts,98501,65783,66.78,4158,4.22,6730,6.83
2023,All,Engineering Technology,17291,11584,66.99,138,0.8,894,5.17
2023,All,Bio Systems Technology,8195,6238,76.12,59,0.72,344,4.2
2023,All,,5897,2790,47.31,79,1.34,477,8.09
2024,School,Commerce,47734,35313,73.98,2849,5.97,3609,7.56
2024,School,Arts,74977,51393,68.55,2925,3.9,4621,6.16
2024,School,Engineering Technology,16914,11785,69.68,134,0.79,849,5.02
2024,School,Bio Systems Technology,7402,5553,75.02,73,0.99,447,6.04
2024,School,None,5889,3208,54.47,98,1.66,253,4.3
2024,All,Bio Science,52867,31094,58.82,1250,2.36,8733,16.52
2024,School,Physical Science,29737,18991,63.86,1516,5.1,4134,13.9
2024,School,Bio Science,40121,23721,59.12,1061,2.64,6375,15.89
2024,All,None,7370,3820,51.83,106,1.44,492,6.68
2024,All,Bio Systems Technology,8447,6282,74.37,78,0.92,550,6.51
2024,All,Engineering Technology,19367,13191,68.11,141,0.73,1127,5.82
2024,All,Arts,93897,61226,65.21,3251,3.46,7230,7.7
2024,All,Commerce,56691,39463,69.61,3012,5.31,5822,10.27
2024,All,Physical Science,35722,22512,63.02,1620,4.54,5290,14.81
2025,All,,8184,4211,51.45,85,1.04,743,9.08
2025,All,Bio Systems Technology,8601,6041,70.24,37,0.43,532,6.19
2025,School,Bio Systems Technology,7423,5327,71.76,35,0.47,387,5.21
2025,School,Engineering Technology,16737,10854,64.85,64,0.38,920,5.5
2025,School,Physical Science,30564,19548,63.96,1383,4.52,4057,13.27
2025,School,Bio Science,41324,24612,59.56,1070,2.59,6564,15.88
2025,School,Arts,70925,47926,67.57,2734,3.85,3758,5.3
2025,School,Commerce,47995,34568,72.02,2111,4.4,3205,6.68
2025,School,,6445,3570,55.39,80,1.24,410,6.36
2025,All,Bio Science,56355,32928,58.43,1328,2.36,9868,17.51
2025,All,Physical Science,37364,23011,61.59,1456,3.9,5793,15.5
2025,All,Commerce,59749,39607,66.29,2264,3.79,5828,9.75
2025,All,Arts,91649,58257,63.57,3062,3.34,6842,7.47
2025,All,Engineering Technology,19908,12472,62.65,68,0.34,1292,6.49
