year,subject_no,subject,no_sat,a_no,a_percentage,b_no,b_percentage,c_no,c_percentage,s_no,s_percentage,pass_no,pass_percentage,fail_no,fail_percentage
2021,22,Geography,50091,3982,7.95,6159,12.3,13703,27.36,14830,29.61,38674,77.21,11417,22.79
2021,23,Political Science,41825,3272,7.82,3791,9.06,10124,24.21,9846,23.54,27033,64.63,14792,35.37
2021,24,Logic & Scientific Method,8534,735,8.61,1220,14.3,2203,25.81,2420,28.36,6578,77.08,1956,22.92
2021,251,History of India,13156,866,6.58,1439,10.94,3960,30.1,3545,26.95,9810,74.57,3346,25.43
2021,252,History of Europe,5606,378,6.74,658,11.74,1786,31.86,1541,27.49,4363,77.83,1243,22.17
2021,253,History of Modern World,189,4,2.12,18,9.52,36,19.05,53,28.04,111,58.73,78,41.27
2021,28,Home Economics,6949,888,12.78,1946,28.0,3628,52.21,421,6.06,6883,99.05,66,0.95
2021,29,Communication & Media Studies,29313,1392,4.75,3010,10.27,7940,27.09,9930,33.88,22272,75.98,7041,24.02
2021,31,Business Statistics,921,39,4.23,96,10.42,266,28.88,317,34.42,718,77.96,203,22.04
2021,32,Business Studies,54437,7544,13.86,9395,17.26,15961,29.32,14619,26.85,47519,87.29,6918,12.71
2021,33,Accounting,56029,8454,15.09,5700,10.17,10691,19.08,17826,31.82,42671,76.16,13358,23.84
2021,41,Buddhism,1508,200,13.26,204,13.53,389,25.8,407,26.99,1200,79.58,308,20.42
2021,42,Hinduism,547,58,10.6,73,13.35,136,24.86,167,30.53,434,79.34,113,20.66
2021,43,Christianity,2251,822,36.52,414,18.39,592,26.3,330,14.66,2158,95.87,93,4.13
2021,44,Islam,7180,1362,18.97,1291,17.98,2008,27.97,1578,21.98,6239,86.89,941,13.11
2021,45,Buddhist Civilization,24554,2832,11.53,2879,11.73,5256,21.41,7631,31.08,18598,75.74,5956,24.26
2021,46,Hindu Civilization,4858,1032,21.24,886,18.24,1419,29.21,1138,23.43,4475,92.12,383,7.88
2021,47,Islamic Civilization,3318,662,19.95,602,18.14,862,25.98,706,21.28,2832,85.35,486,14.65
2021,48,Greek & Roman Civilization,278,53,19.06,56,20.14,66,23.74,41,14.75,216,77.7,62,22.3
2021,49,Christian Civilization,1321,291,22.03,227,17.18,320,24.22,306,23.16,1144,86.6,177,13.4
2021,51,Art,6101,502,8.23,712,11.67,1795,29.42,2180,35.73,5189,85.05,912,14.95
2021,52,Dancing (Indigenous),5767,1427,24.74,1185,20.55,1487,25.78,1093,18.95,5192,90.03,575,9.97
2021,53,Dancing (Bharatha),760,294,38.68,222,29.21,204,26.84,39,5.13,759,99.87,1,0.13
2021,54,Oriental Music,2581,552,21.39,494,19.14,706,27.35,534,20.69,2286,88.57,295,11.43
2021,55,Carnatic Music,1343,264,19.66,323,24.05,478,35.59,223,16.6,1288,95.9,55,4.1
2021,56,Western Music,76,28,36.84,20,26.32,16,21.05,9,11.84,73,96.05,3,3.95
2021,57,Drama & Theatre (Sinhala),2855,379,13.27,614,21.51,1052,36.85,635,22.24,2680,93.87,175,6.13
2021,58,Drama & Theatre (Tamil),1677,184,10.97,444,26.48,788,46.99,245,14.61,1661,99.05,16,0.95
2021,65,Engineering Technology,17834,369,2.07,2107,11.81,5340,29.94,7134,40.0,14950,83.83,2884,16.17
2021,66,Bio systems Technology,9408,353,3.75,1290,13.71,2447,26.01,3714,39.48,7804,82.95,1604,17.05
2021,67,Science for Technology,29840,977,3.27,3272,10.97,6159,20.64,14645,49.08,25053,83.96,4787,16.04
2021,71,Sinhala,61687,8747,14.18,12884,20.89,18911,30.66,15056,24.41,55598,90.13,6089,9.87
2021,72,Tamil,17845,810,4.54,2363,13.24,5573,31.23,6308,35.35,15054,84.36,2791,15.64
2021,73,English,1768,19,1.07,54,3.05,311,17.59,703,39.76,1087,61.48,681,38.52
2021,74,Pali,1214,165,13.59,175,14.42,341,28.09,410,33.77,1091,89.87,123,10.13
2021,75,Sanskrit,605,37,6.12,75,12.4,168,27.77,209,34.55,489,80.83,116,19.17
2021,78,Arabic,1971,487,24.71,462,23.44,556,28.21,307,15.58,1812,91.93,159,8.07
2021,81,French,1214,86,7.08,129,10.63,304,25.04,354,29.16,873,71.91,341,28.09
2021,82,German,377,18,4.77,28,7.43,96,25.46,94,24.93,236,62.6,141,37.4
2021,83,Russian,40,1,2.5,4,10.0,17,42.5,10,25.0,32,80.0,8,20.0
2021,84,Hindi,430,94,21.86,91,21.16,120,27.91,77,17.91,382,88.84,48,11.16
2021,86,Chinese,368,27,7.34,47,12.77,116,31.52,98,26.63,288,78.26,80,21.74
2021,87,Japanese,2202,226,10.26,202,9.17,463,21.03,458,20.8,1349,61.26,853,38.74
2021,21,Economics,60248,8345,13.85,6868,11.4,12882,21.38,16051,26.64,44146,73.27,16102,26.73
2021,20,Information & Communication Technology,35648,892,2.5,2454,6.88,11551,32.4,13507,37.89,28404,79.68,7244,20.32
