year,candidate_type,no_sat,eligible_no,eligible_percentage,three_a_no,three_a_percentage,failed_all_no,failed_all_percentage
2021,School,236035,149946,63.53,,3.95,,9.71
2021,All,272682,171497,62.89,,3.67,,10.03
2022,School,232797,149487,64.21,,4.05,,9.79
2022,All,263933,166938,63.25,,3.75,,10.29
2023,School,229057,151343,66.07,,4.3,,9.42
2023,All,269613,173444,64.33,,3.89,,10.37
2024,All,274361,177588,64.73,,3.45,,10.66
2024,School,222774,149964,67.32,,3.89,,9.11
2025,All,281810,176527,62.64,,2.95,,10.96
2025,School,221413,146405,66.12,,3.38,,8.72
